Table S4. Coefficients for analytical approximation to the scattering factors
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=4.
  DATE = 2022-07-29     TIME = 20:53:12
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4             c      Max.Err.  STL Mean.Err.
Sr(2+)      DHF        17.871372      1.518540      1.829559     27.090857      8.787454     13.284703      8.626236  7.480752E-02     -1.114252     0.0020  0.81  0.0008
Y(2+)       DHF        18.177046      1.362581      9.935013     12.448995   -100.909443 -4.351309E-03      1.750880     36.233158    108.043217     0.0035  0.10  0.0015
Y(3+)       DHF        18.187340      1.347523      9.717629     11.815330     -9.830874 -3.881470E-02      1.088182     24.910208     16.838631     0.0038  2.00  0.0014
Zr(1+)      DHF        18.261385      1.244713     10.881198     11.721284    -79.562669 -4.931353E-03      2.820432     62.381398     86.583846     0.0172  0.08  0.0045
Zr(2+)      DHF        10.506436     11.459848     18.533769      1.219788     -1.793053 -1.328131E-01      2.282135     34.450297      8.466931     0.0041  0.10  0.0019
Zr(3+)      DHF        18.539810      1.207640      1.531195     27.750638     -1.128500 -1.762801E-01     10.363931     10.956376      7.693268     0.0049  2.00  0.0015
Zr(4+)      DHF        10.369030     10.460913     18.491315      1.199540  6.296122E-01     23.741798 -9.322945E-01 -1.955870E-01      7.443411     0.0050  2.00  0.0017
Nb(2+)      DHF        11.145210     10.618874     18.865600      1.093844 -2.900781E-01 -3.274595E-01      2.758804     31.601447      6.516494     0.0049  2.00  0.0022
Nb(3+)      DHF        10.976086     10.191675     18.854553      1.084459 -1.951042E-01 -3.844501E-01      2.023874     26.458663      6.339988     0.0057  2.00  0.0018
Nb(4+)      DHF        18.802250      1.078401     10.910846      9.761116 -1.656681E-01 -4.077030E-01      1.180451     23.538413      6.272867     0.0058  2.00  0.0018
Nb(5+)      DHF        18.725974      1.073605     10.820013      9.269839 -1.549073E-01 -4.160110E-01  3.687486E-01     23.183168      6.241252     0.0056  2.00  0.0018
Mo(1+)      DHF        12.209321     10.310764     19.077404  9.982014E-01 -1.017284E-01 -4.586594E-01      3.708554     36.064330      6.094548     0.0126  0.10  0.0038
Mo(2+)      DHF        11.871180      9.893605      3.157072     28.942663     19.108575  9.850841E-01 -3.607136E-02 -6.362851E-01      5.895251     0.0056  2.00  0.0024
Mo(3+)      DHF         2.430655     24.757140     11.683371      9.531913     19.076568  9.783054E-01 -2.339179E-02 -7.140510E-01      5.832119     0.0063  2.00  0.0020
Mo(4+)      DHF         1.614698     22.277379     19.020095  9.739879E-01 -1.986819E-02 -7.420543E-01     11.579527      9.164236      5.806247     0.0063  2.00  0.0020
Mo(5+)      DHF        18.947076  9.708941E-01     11.448904      8.748905  8.279028E-01     21.244566 -1.948172E-02 -7.427375E-01      5.796743     0.0061  2.00  0.0020
Mo(6+)      DHF        18.859926  9.680723E-01     11.151761      8.249990  2.176013E-01     23.215767 -1.985158E-02 -7.361047E-01      5.791586     0.0057  2.00  0.0018
Tc(1+)      DHF        19.097816  9.142283E-01     13.341677      9.592149 -7.539537E-02 -4.607332E-01      3.678258     43.914663      5.934652     0.0244  0.10  0.0067
Tc(2+)      DHF        19.236531  8.932432E-01     12.681612      9.262760      3.472024     26.673876 -1.911625E-03     -1.166267      5.607920     0.0062  2.00  0.0027
Tc(3+)      DHF        19.190918  8.887055E-01      2.735216     23.208488 -1.123082E-03     -1.276421     12.493434      8.961292      5.581017     0.0066  2.00  0.0023
Tc(4+)      DHF        19.134321  8.856834E-01      1.924322     21.106022     12.374596      8.650090 -9.368444E-04     -1.311672      5.568551     0.0066  2.00  0.0023
Tc(5+)      DHF        12.217409      8.295622     19.068136  8.835143E-01 -9.618174E-04     -1.302066      1.153111     20.052920      5.563628     0.0063  2.00  0.0023
Tc(6+)      DHF        18.992017  8.819060E-01     11.917552      7.878499  5.292958E-01     20.258512 -1.119323E-03     -1.265698      5.563562     0.0059  2.00  0.0021
Tc(7+)      DHF        18.904148  8.803182E-01     11.409459      7.385994 -1.295613E-03     -1.230969  1.246301E-01     24.224433      5.564009     0.0055  2.00  0.0019
Ru(1+)      DHF        13.892313      8.994828     19.322090  8.214634E-01      4.298010     29.556964 -7.314239E-05     -1.811413      5.476814     0.0114  0.11  0.0042
Ru(2+)      DHF        19.278733  8.166927E-01     13.582763      8.720547 -1.339015E-05     -2.197954      3.686135     24.839475      5.449056     0.0065  1.01  0.0031
Ru(3+)      DHF        19.231065  8.137511E-01     13.417725      8.474522      2.915221     21.974412 -6.453732E-06     -2.362914      5.435925     0.0068  1.01  0.0029
Ru(4+)      DHF        19.178257  8.116041E-01     13.304188      8.212700 -5.152831E-06     -2.410552      2.090197     20.245913      5.428659     0.0068  1.01  0.0029
Ru(5+)      DHF        13.130747      7.907513     19.119193  8.099639E-01      1.326785     19.375367 -5.697243E-06     -2.382444      5.425015     0.0063  1.01  0.0028
Ru(6+)      DHF        19.053207  8.087497E-01     12.806125      7.545994  7.180572E-01     19.353715 -7.963302E-06     -2.300248      5.424314     0.0057  1.02  0.0026
Ru(7+)      DHF        18.979444  8.079036E-01     12.295170      7.127841 -1.289421E-05     -2.184895  3.006905E-01     20.699419      5.426098     0.0051  2.00  0.0023
Ru(8+)      DHF        18.894897  8.070878E-01     11.612914      6.654880 -1.948770E-05     -2.086680  6.488227E-02     27.373940      5.428189     0.0049  2.00  0.0020
Rh(1+)      DHF        19.327811  7.549920E-01     14.844466      8.472920 -4.087812E-09     -4.014006      4.459065     27.322574      5.358952     0.0101  0.11  0.0049
Rh(2+)      DHF        19.284714  7.520490E-01      3.783231     23.428745     14.584819      8.258148 -2.039821E-10     -4.727640      5.344866     0.0094  1.05  0.0040
Rh(3+)      DHF        14.459517      8.058144     19.240761  7.499815E-01      2.963838     21.079933 -4.928087E-11     -5.063557      5.336679     0.0097  1.04  0.0039
Rh(4+)      DHF        19.192889  7.483697E-01     14.361949      7.836849      2.115676     19.729321 -3.244135E-11     -5.158757      5.331571     0.0095  1.05  0.0040
Rh(5+)      DHF        19.139813  7.470878E-01     14.175580      7.571246      1.358378     19.152379 -4.414845E-11     -5.079567      5.328671     0.0090  1.05  0.0038
Rh(6+)      DHF     7.748440E-01     19.301648     13.818560      7.252320     19.081130  7.461203E-01 -1.058840E-10     -4.864720      5.327779     0.0082  1.06  0.0035
