Table S5. Coefficients for analytical approximation to the scattering factors 
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=5.
  DATE = 2022-07-29     TIME = 20:35:31
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4            a5            b5             c      Max.Err.  STL Mean.Err.
 
Md(2+)      DHF        23.922271      2.592538      9.634555     15.618700      1.309774     31.641106     14.623667      7.568242     36.880767  3.782614E-01     12.628875     0.0015  2.00  0.0003
Md(3+)      DHF     8.731780E-01     28.315422     23.842324      2.554407     36.781269  3.770449E-01     14.714984      7.578989      9.175888     14.963805     12.612413     0.0015  2.00  0.0003
No(2+)      DHF        15.124831      7.261925     24.270684      2.545530      9.730401     15.072078      1.364224     30.521117     36.968503  3.648924E-01     12.541258     0.0015  2.00  0.0003
No(3+)      DHF        15.146604      7.248593     36.873450  3.637907E-01      9.335920     14.391875  9.557260E-01     27.175971     24.162152      2.508248     12.526191     0.0015  2.00  0.0003
Lr(3+)      DHF         1.035275     26.155848     24.522758      2.464232     36.960627  3.509650E-01     15.577168      6.948636      9.468468     13.865970     12.435738     0.0015  2.00  0.0002
Rf(4+)      DHF        16.204110      6.671631     36.941128  3.375872E-01  6.538813E-01     24.019278     24.772940      2.382832      9.098529     12.956582     12.329478     0.0014  2.00  0.0002
Db(5+)      DHF        25.000244      2.301780     36.913170  3.247585E-01     16.856242      6.399104  3.648873E-01     22.993284      8.642846     12.145146     12.222677     0.0012  2.00  0.0002
Sg(6+)      DHF        25.200045      2.221861  1.900800E-01     22.626642     17.473337      6.125697      8.141107     11.378951     36.879305  3.124877E-01     12.116187     0.0011  2.00  0.0002
Bh(7+)      DHF        25.373217      2.143747     36.841470  3.007744E-01  9.690264E-02     22.671090     18.034561      5.853597      7.643173     10.653020     12.010726     0.0009  2.00  0.0001
Hs(8+)      DHF        36.801165  2.896192E-01     25.521240      2.067952     18.536311      5.586165  5.008988E-02     22.953108      7.183870      9.972249     11.907364     0.0008  2.00  0.0001
Cn(2+)      DHF        14.489676      6.095937      3.380140     30.765058     12.753137     14.029754     36.506755  2.419830E-01     31.727383      1.871291     11.142040     0.0009  0.10  0.0004
 
