Table S5. Coefficients for analytical approximation to the scattering factors 
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=5.
  DATE = 2022-07-29     TIME = 20:35:31
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4            a5            b5             c      Max.Err.  STL Mean.Err.
 
Cr(6+)      DHF         7.727116  4.332007E-01      8.032232      3.200992      5.647309      5.934966     -5.423983      2.272705  6.115811E-01     10.125150      1.405745     0.0001  2.00  0.0000
Mn(1+)      DHF        10.033674  2.496829E-01     10.556022      5.080834      3.599839     13.780453      1.526584     57.137203      1.328309 -1.388809E-01     -3.047714     0.0036  0.08  0.0012
Mn(2+)      DHF         9.111557  4.539911E-01      9.203406      4.658398      4.816450     10.365761  9.442273E-01     26.006005     -2.624524  9.046425E-01      1.548447     0.0005  2.00  0.0002
Mn(3+)      DHF         4.887564      8.844929      7.936120  4.160600E-01  7.567598E-01     19.776869      8.619523      4.351491     -1.673936      1.293304      1.473812     0.0002  2.00  0.0001
Mn(4+)      DHF        -1.859039      1.514193      8.061852      4.038641      7.778311  4.052031E-01  6.249887E-01     15.723491      4.951155      7.661261      1.442667     0.0001  2.00  0.0000
Mn(5+)      DHF     5.547539E-01     12.753417      7.739867  3.991716E-01     -2.296495      1.663271      7.495479      3.703783      5.082700      6.675850      1.423665     0.0001  2.00  0.0000
Mn(6+)      DHF         5.415097      5.794265      7.739071  3.945259E-01      6.982091      3.298623     -3.115794      1.796832  5.709243E-01     10.361186      1.408597     0.0000  2.00  0.0000
Mn(7+)      DHF        11.349171      2.567405      7.750282  3.899549E-01     -9.421558      2.094256      6.169647      4.936862  7.587930E-01      8.323690      1.393659     0.0000  2.00  0.0000
Fe(1+)      DHF        11.129904      4.596104      7.640961  2.832839E-01      1.550248     53.029514      3.997827     12.585441  4.226618E-04     -1.228056  6.769096E-01     0.0040  0.09  0.0013
Fe(2+)      DHF         9.689550      4.215693    300.000000  5.315912E-01      1.063120     23.855560      5.196424      9.482088   -293.563638  5.374418E-01      1.614017     0.0006  0.12  0.0002
Fe(3+)      DHF         9.276043  4.175316E-01      5.023567      8.370251      9.265939      4.038816  8.175489E-01     18.707708     -2.943387  8.272662E-01      1.560121     0.0002  2.00  0.0001
Fe(4+)      DHF         8.065033  3.824911E-01      4.954360      7.357560  6.608687E-01     15.153088      8.768212      3.805366     -1.932369      1.116509      1.483829     0.0001  2.00  0.0000
Fe(5+)      DHF     5.491489E-01     12.587383      8.278203      3.570072      7.869344  3.709992E-01     -2.026429      1.284847      4.881713      6.525232      1.447992     0.0001  2.00  0.0000
Fe(6+)      DHF     4.841302E-01     10.581911      4.854149      5.810579      7.817043  3.645994E-01      7.762566      3.326616     -2.343672      1.395973      1.425770     0.0000  2.00  0.0000
Co(1+)      DHF         1.352537     30.830679      7.622268  2.582919E-01     10.945686      4.078825      5.412578     10.414208  1.930919E-04     -1.330042  6.650341E-01     0.0018  0.11  0.0007
Co(2+)      DHF         5.340297      8.979286     10.391204      3.912794     48.895106  1.001638E-01      1.097960     22.465280    -77.341030  3.983443E-02     36.615944     0.0006  0.12  0.0002
Co(3+)      DHF     9.315207E-01     17.410258     78.966540  4.848345E-01      5.391568      7.733541      9.753859      3.683880    -72.672609  5.071617E-01      1.628907     0.0002  0.13  0.0001
Co(4+)      DHF        10.267901  3.978734E-01      9.432690      3.553281  7.076256E-01     14.486295      5.077342      7.005697     -4.075996  7.031142E-01      1.590365     0.0001  2.00  0.0000
Co(5+)      DHF         8.283397  3.556528E-01      8.989425      3.369099  5.747294E-01     12.201010     -2.259654  9.515009E-01      4.910412      6.278572      1.501659     0.0001  2.00  0.0000
Ni(1+)      DHF         5.637357      9.011818     11.268602      3.687787  1.321591E-01     55.909259      7.394305  2.472570E-01      1.682267     23.568837  8.853958E-01     0.0032  2.00  0.0006
Ni(2+)      DHF         1.185869     20.890961      5.673219      8.314155      7.835334  2.210416E-01     10.951482      3.579994  9.989707E-04 -9.969013E-01  3.525095E-01     0.0006  0.12  0.0003
